Item,Reference(s),Value,Quantity
1,C1 C2,22pF,2
2,C3,100nF,1
3,IC1,ATMEGA328P-P,1
4,P1,CONN_01X05,1
5,R1,10K,1
6,SW1,RESET,1
7,XTAL1,16MHz,1
